;Karta;Wyniki;Metadane;Przetworzone próbki
1;Not found;Not found;Not found;2
2;Not found;Not found;Not found;5
3;Not found;Not found;Not found;5
4;Not found;Not found;Not found;6
5;Not found;Not found;Not found;6
6;Not found;Not found;Not found;6
7;Not found;Not found;Not found;2
8;Not found;Not found;Not found;0
9;Not found;Not found;Not found;0
10;Not found;Not found;Not found;3
11;Not found;Not found;Not found;3
12;Not found;Not found;Not found;4
13;Not found;Not found;Not found;4
14;Not found;Not found;Not found;2
15;Not found;Not found;Not found;3
16;Not found;Not found;Not found;5
17;Not found;Not found;Not found;5
18;Not found;Not found;Not found;0
19;Not found;Not found;Not found;5
20;Not found;Not found;Not found;0
21;Not found;Not found;Not found;3
22;Not found;Not found;Not found;4
23;Not found;Not found;Not found;4
24;Not found;Not found;Not found;2
25;Not found;Not found;Not found;0
26;Not found;Not found;Not found;4
27;Not found;Not found;Not found;0
28;Not found;Not found;Not found;2
29;Not found;Not found;Not found;0
30;Not found;Not found;Not found;0
31;Not found;Not found;Not found;4
32;Not found;Not found;Not found;5
33;Not found;Not found;Not found;0
34;Not found;Not found;Not found;4
35;Not found;Not found;Not found;0
36;Not found;Not found;Not found;5
37;Not found;Not found;Not found;2
38;Not found;Not found;Not found;0
39;Not found;Not found;Not found;5
40;Not found;Not found;Not found;2
41;Not found;Not found;Not found;2
42;Not found;Not found;Not found;3
43;Not found;Not found;Not found;2
44;Not found;Not found;Not found;0
45;Not found;Not found;Not found;0
46;Not found;Not found;Not found;0
47;Not found;Not found;Not found;3
48;Not found;Not found;Not found;5
49;Not found;Not found;Not found;5
50;Not found;Not found;Not found;0
51;Not found;Not found;Not found;5
52;Not found;Not found;Not found;2
53;Not found;Not found;Not found;5
54;Not found;Not found;Not found;4
55;Not found;Not found;Not found;0
56;Not found;Not found;Not found;6
57;Not found;Not found;Not found;0
58;Not found;Not found;Not found;0
59;Not found;Not found;Not found;0
60;Not found;Not found;Not found;3
61;Not found;Not found;Not found;6
62;Not found;Not found;Not found;0
63;Not found;Not found;Not found;6
64;Not found;Not found;Not found;4
65;Not found;Not found;Not found;0
66;Not found;Not found;Not found;0
67;Not found;Not found;Not found;0
68;Not found;Not found;Not found;0
69;Not found;Not found;Not found;0
70;Not found;Not found;Found;6
71;Not found;Not found;Found;0
72;Not found;Not found;Found;0
73;Not found;Not found;Found;0
74;Not found;Not found;Found;0
75;Not found;Not found;Found;0
76;Not found;Not found;Found;4
77;Not found;Not found;Found;6
78;Not found;Not found;Found;5
79;Not found;Not found;Found;0
80;Not found;Not found;Found;0
81;Not found;Not found;Found;6
82;Not found;Not found;Found;6
83;Not found;Not found;Found;0
84;Not found;Not found;Found;0
85;Not found;Not found;Found;0
86;Not found;Not found;Found;0
87;Not found;Not found;Found;0
88;Not found;Not found;Found;0
89;Not found;Not found;Found;0
90;Not found;Not found;Found;0
91;Not found;Not found;Found;0
92;Not found;Not found;Found;0
93;Not found;Not found;Found;0
94;Not found;Not found;Found;6
95;Not found;Not found;Found;0
96;Not found;Not found;Found;0
